,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,12.5,0.0,-12.5,0.0,,,9,5,24,19,,13,21,2,1,,8,6,,76.5,67.7,,88,75,0,1,1.0,1.0,0,20180918164055,11077
1,4.0,12.5,0.0,-12.5,0.0,,,9,5,24,19,,13,21,2,1,,8,6,,76.5,67.7,,88,75,0,1,1.0,1.0,1.0,20180918164107.0,21077.0
2,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,,13,21,2,1,7.0,8,6,,76.5,67.7,,88,75,0,1,0.0,34.0,0.0,20180918164148.0,21086.0
3,4.0,13.5,0.0,-13.5,0.0,1.0,1:2^2:2,9,5,24,19,,13,21,2,1,7.0,8,6,72.2,76.5,67.7,,88,75,0,1,0.0,34.0,0.0,20180918164205.0,11080^11078
4,4.0,14.5,0.0,-14.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,36.0,1.0,20180918164224.0,11077.0
5,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,36.0,1.0,20180918164225.0,21077.0
6,4.0,14.5,0.0,-14.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,20.0,1.0,20180918164241.0,11077.0
7,4.0,14.5,0.0,-14.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,11.0,1.0,20180918164250.0,11077.0
8,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,1.0,0.0,20180918164302.0,11077.0
9,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,1.0,1.0,20180918164307.0,21077.0
10,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,0.0,0.0,20180918164309.0,1084.0
11,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,0.0,0.0,20180918164312.0,1084.0
12,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,0.0,0.0,20180918164312.0,1084.0
13,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,0.0,0.0,20180918164312.0,1084.0
14,4.0,13.5,0.0,-13.5,0.0,1.0,,9,5,24,19,14.0,13,21,2,1,7.0,8,6,73.7,76.5,67.7,89.0,89,75,0,1,0.0,0.0,0.0,20180918164312.0,1084.0
