,ED,PG,S1,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,46.0,0,20181012203247,11077
1,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,46.0,1.0,20181012203301.0,11077
2,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,37.0,1.0,20181012203310.0,11077
3,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,29.0,1.0,20181012203318.0,11077
4,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,27.0,1.0,20181012203321.0,21077.0
5,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,18.0,1.0,20181012203329.0,21077.0
6,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,11.0,1.0,20181012203337.0,11077.0
7,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,10.0,1.0,20181012203337.0,11077.0
8,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,1.0,2.0,1.0,20181012203345.0,11077.0
9,,,,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,76,56,0,1,0.0,54.0,1.0,20181012203354.0,11077.0
10,,^,8.0,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,79,56,0,1,0.0,53.0,1.0,20181012203354.0,11075^21077
11,,,8.0,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,79,56,0,1,0.0,53.0,1.0,20181012203355.0,21077.0
12,,,8.0,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,79,56,0,1,0.0,44.0,1.0,20181012203403.0,21077.0
13,,,8.0,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,79,56,0,1,0.0,43.0,0.0,20181012203405.0,21077.0
14,,,8.0,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,79,56,0,1,0.0,43.0,1.0,20181012203426.0,21077.0
15,,,8.0,7,3,24,19,,7,9,4,2,,6,4,,63.6,47.4,79,56,0,1,0.0,38.0,0.0,20181012203431.0,21077.0
16,,^,8.0,7,3,24,19,,7,9,4,2,7.0,6,4,,63.6,47.4,79,56,0,1,0.0,38.0,0.0,20181012203434.0,11086^21077
17,,1:2,8.0,7,3,24,19,,7,9,4,2,7.0,6,4,,63.6,47.4,79,56,0,1,0.0,38.0,0.0,20181012203436.0,21078.0
18,,1:2^2:2,8.0,7,3,24,19,10.0,7,9,4,2,7.0,6,4,50.0,63.6,47.4,79,57,0,1,0.0,38.0,0.0,20181012203450.0,21079^21078
19,,2:2^,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,38.0,0.0,20181012203501.0,21079^11077
20,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,38.0,1.0,20181012203501.0,11077.0
21,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,29.0,1.0,20181012203510.0,11077.0
22,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,26.0,1.0,20181012203513.0,21077.0
23,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,17.0,1.0,20181012203522.0,21077.0
24,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,9.0,1.0,20181012203530.0,21077.0
25,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,1.0,1.0,20181012203538.0,21077.0
26,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,0.0,0.0,20181012203540.0,21077.0
27,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,0.0,0.0,20181012203540.0,1084.0
28,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,0.0,0.0,20181012203549.0,1084.0
29,,,8.0,7,3,24,19,11.0,7,9,4,2,7.0,6,4,52.4,63.6,47.4,79,58,0,1,0.0,0.0,0.0,20181012203549.0,1084.0
