,ED,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,6,8,,22,26,,13,15,0,3,,3,5,,76.5,78.9,75,91,0,1,0,58.0,0,20181028142446,11086
1,,,,,6,8,,22,26,,13,15,0,3,,3,5,,76.5,78.9,75,91,0,1,0,58.0,0,20181028142451.0,11086
2,,,1.0,,6,8,,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,91,0,1,0,58.0,0,20181028142452.0,11086
3,,,1.0,,6,8,,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,91,0,1,0,58.0,1.0,20181028142457.0,11086
4,,,1.0,,6,8,,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,91,0,1,0,58.0,1.0,20181028142458.0,21077.0
5,,^,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,49.0,1.0,20181028142506.0,21074^11077
6,,^,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,48.0,1.0,20181028142507.0,21074^11077
7,,,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,47.0,1.0,20181028142508.0,11077.0
8,,,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,46.0,1.0,20181028142511.0,11077.0
9,,,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,43.0,1.0,20181028142515.0,11077.0
10,,,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,38.0,0.0,20181028142520.0,11077.0
11,,,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,38.0,0.0,20181028142523.0,21086.0
12,,,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,38.0,0.0,20181028142524.0,21086.0
13,,1:2,1.0,,6,8,27.0,22,26,,13,15,0,3,4.0,3,5,,76.5,78.9,75,93,0,1,0,38.0,0.0,20181028142535.0,11078.0
14,,^1:2,1.0,,6,8,27.0,22,26,14.0,13,15,0,3,6.0,3,5,77.8,76.5,78.9,75,93,0,1,0,38.0,0.0,20181028142535.0,21086^11078
15,,2:2,1.0,,6,8,27.0,22,26,15.0,13,15,0,3,6.0,3,5,78.9,76.5,78.9,77,93,0,1,0,38.0,0.0,20181028142552.0,11079.0
16,,2:2,1.0,,6,8,27.0,22,26,15.0,13,15,0,3,6.0,3,5,78.9,76.5,78.9,77,93,0,1,0,38.0,1.0,20181028142557.0,11079.0
17,,,1.0,,6,8,27.0,22,26,15.0,13,15,0,3,6.0,3,5,78.9,76.5,78.9,77,93,0,1,0,30.0,0.0,20181028142605.0,21077.0
18,,,1.0,,6,8,27.0,22,26,15.0,13,15,0,3,6.0,3,5,78.9,76.5,78.9,77,93,0,1,0,30.0,0.0,20181028142609.0,11086.0
19,,1:2,1.0,,6,8,27.0,22,26,15.0,13,15,0,3,6.0,3,5,78.9,76.5,78.9,77,93,0,1,0,30.0,0.0,20181028142612.0,21078.0
20,,1:2,1.0,,6,8,27.0,22,26,15.0,13,15,0,3,6.0,3,5,78.9,76.5,78.9,77,93,0,1,0,30.0,0.0,20181028142613.0,21078.0
21,,^1:2,1.0,,6,8,27.0,22,26,16.0,13,15,0,3,5.0,3,5,80.0,76.5,78.9,77,93,0,1,0,30.0,0.0,20181028142613.0,11086^21078
22,,2:2,1.0,,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,77,95,0,1,0,30.0,0.0,20181028142638.0,21079.0
23,,2:2,1.0,,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,77,95,0,1,0,30.0,1.0,20181028142642.0,21079.0
24,,,1.0,,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,77,95,0,1,0,21.0,1.0,20181028142651.0,11077.0
25,,^,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,17.0,1.0,20181028142653.0,11075^21077
26,,^,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,15.0,1.0,20181028142657.0,11075^21077
27,,,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,15.0,1.0,20181028142658.0,21077.0
28,,,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,6.0,1.0,20181028142707.0,21077.0
29,,,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,0.0,0.0,20181028142714.0,21077.0
30,,,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,0.0,0.0,20181028142714.0,1084.0
31,,,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,0.0,0.0,20181028142717.0,1084.0
32,,,1.0,7.0,6,8,27.0,22,26,17.0,13,15,0,3,5.0,3,5,81.0,76.5,78.9,80,95,0,1,0,0.0,0.0,20181028142717.0,1084.0
