,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-7.5,0.0,7.5,0.0,,,18,9,21,37,,12,12,,2,2,,4,4,,63.2,66.7,108,115,0,1,0,40.0,0,20181110015849,21077
1,,,4.0,-7.5,0.0,7.5,0.0,2.0,,18,9,21,37,,12,12,,2,2,,4,4,,63.2,66.7,108,115,0,1,0,37.0,0,20181110015902.0,21077
2,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,18,9,21,37,,12,12,,2,2,5.0,4,4,,63.2,66.7,108,115,0,1,0,43.0,0,20181110015906.0,11086^21077
3,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,18,9,21,37,,12,12,,2,2,5.0,4,4,,63.2,66.7,108,115,0,1,0,43.0,1.0,20181110015918.0,11086^21077
4,,,4.0,-7.5,0.0,7.5,0.0,2.0,^,18,9,21,37,,12,12,,2,2,5.0,4,4,,63.2,66.7,108,115,0,1,0,34.0,1.0,20181110015927.0,11086^21077
5,,,4.0,-7.5,0.0,7.5,0.0,2.0,^,18,9,21,37,,12,12,,2,2,5.0,4,4,,63.2,66.7,108,115,0,1,0,30.0,0.0,20181110015931.0,11086^21077
6,,,4.0,-7.5,0.0,7.5,0.0,2.0,^,18,9,21,37,,12,12,,2,2,6.0,4,4,,63.2,66.7,108,115,0,1,0,30.0,0.0,20181110015942.0,11086^21077
7,,,4.0,-8.5,0.0,8.5,0.0,3.0,1:2,18,9,21,37,,12,12,,2,2,6.0,4,4,,63.2,66.7,108,115,0,1,0,30.0,0.0,20181110015943.0,21078.0
8,44.0,5.0,4.0,-8.5,0.0,8.5,0.0,3.0,,18,9,21,37,,12,12,1.0,2,2,6.0,4,4,,63.2,66.7,108,115,0,1,0,30.0,0.0,20181110015951.0,11081.0
9,,,4.0,-8.5,0.0,8.5,0.0,3.0,,18,9,21,37,,12,12,1.0,2,2,6.0,4,4,,63.2,66.7,108,115,0,1,0,30.0,0.0,20181110020223.0,21077.0
10,,,4.0,-8.5,0.0,8.5,0.0,2.0,1:2^2:2,18,9,21,37,13.0,12,12,1.0,2,2,6.0,4,4,68.4,63.2,66.7,108,116,0,1,0,30.0,0.0,20181110020224.0,21079^21078
11,,,4.0,-8.5,0.0,8.5,0.0,1.0,2:2^,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,30.0,0.0,20181110020235.0,21079^11077
12,,,4.0,-8.5,0.0,8.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,30.0,1.0,20181110020236.0,11077.0
13,,,4.0,-8.5,0.0,8.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,21.0,1.0,20181110020245.0,11077.0
14,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,20.0,1.0,20181110020245.0,21077.0
15,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,16.0,0.0,20181110020248.0,21077.0
16,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,16.0,1.0,20181110020312.0,21077.0
17,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,7.0,1.0,20181110020320.0,21077.0
18,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,0.0,0.0,20181110020329.0,21077.0
19,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,0.0,0.0,20181110020333.0,21077.0
20,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,0.0,0.0,20181110020333.0,1084.0
21,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,0.0,0.0,20181110020334.0,1084.0
22,,,4.0,-9.5,0.0,9.5,0.0,1.0,,18,9,21,37,14.0,12,12,1.0,2,2,6.0,4,4,70.0,63.2,66.7,108,117,0,1,0,0.0,0.0,20181110020334.0,1084.0
